event_id,split,ID,event_start,event_end,first_high_date,last_high_date,peak_date,season,water_year,month,duration_days,high_flow_days,threshold_q95,peak_q,event_volume_q,p3,p7,p30,event_precip,temp7,temp30,swe_before,swe_mean7,swe_delta_7,soil_wetness,soil_wetness_30,frac_snow,aridity,p_season,area_calc,event_type,climate_sensitivity,heavy_rain_flag,rain_concentrated_flag,snowpack_flag,melt_flag,wet_antecedent_flag
test_7_0005,test,7,2015-04-30,2015-05-08,2015-05-02,2015-05-06,2015-05-03,MAM,2015,5,9,5,4.85913105667799,6.560869658501698,43.46454496692293,45.21999999999998,76.47999999999999,129.99,90.95,3.1571428571428557,1.7500000000000002,402.07,382.6857142857143,-32.04000000000002,0.45285714285714285,0.42033333333333334,0.39,0.45,0.28,1143.768,rain_on_snow,warming_snow_transition,True,True,True,True,True
test_7_0006,test,7,2015-05-12,2015-05-17,2015-05-14,2015-05-15,2015-05-15,MAM,2015,5,6,2,4.85913105667799,5.608507777579117,24.443645986053994,38.79999999999998,47.30999999999999,185.10999999999999,40.209999999999994,7.7714285714285705,4.673333333333333,290.73,226.73571428571427,-107.81000000000003,0.45285714285714285,0.44466666666666665,0.39,0.45,0.28,1143.768,rain_on_snow,warming_snow_transition,True,True,True,True,True
test_7_0007,test,7,2015-05-18,2015-05-22,2015-05-20,2015-05-20,2015-05-20,MAM,2015,5,5,1,4.85913105667799,5.387757554085464,20.11599928482031,60.13999999999998,92.77,225.28,81.0,5.814285714285712,5.260000000000001,208.58,166.78285714285715,-57.130000000000024,0.45,0.449,0.39,0.45,0.28,1143.768,rain_on_snow,warming_snow_transition,True,True,True,True,True
test_7_0008,test,7,2015-06-18,2015-06-26,2015-06-20,2015-06-24,2015-06-23,JJA,2015,6,9,5,4.85913105667799,7.558493831575184,44.27972966207761,31.08999999999998,90.07,243.39999999999998,87.79,7.085714285714284,9.206666666666667,4.6,2.382857142857143,-3.34,0.4414285714285714,0.433,0.39,0.45,0.28,1143.768,long_rain_wet_soil,antecedent_wetness_storage,True,False,True,False,True
test_7_0009,test,7,2016-05-11,2016-05-16,2016-05-13,2016-05-14,2016-05-14,MAM,2016,5,6,2,4.85913105667799,5.730854997318076,26.185394600393348,74.96999999999997,80.38,227.67000000000002,93.53000000000002,5.442857142857142,2.25,344.35,297.8757142857143,-62.29000000000002,0.4585714285714286,0.447,0.39,0.45,0.28,1143.768,rain_on_snow,warming_snow_transition,True,True,True,True,True
test_7_0010,test,7,2016-05-27,2016-06-01,2016-05-29,2016-05-30,2016-05-30,MAM,2016,5,6,2,4.85913105667799,6.0185717861612735,28.969720722331488,31.389999999999972,41.46999999999999,236.41000000000003,53.99,7.728571428571427,4.85,258.0,232.61285714285717,-70.32,0.45,0.4473333333333333,0.39,0.45,0.28,1143.768,snowmelt,warming_snow_transition,False,True,True,True,True
test_7_0011,test,7,2016-06-06,2016-06-27,2016-06-08,2016-06-25,2016-06-17,JJA,2016,6,22,16,4.85913105667799,14.842865009833721,138.54169712140177,38.24999999999997,85.19999999999999,282.79,197.96000000000004,7.57142857142857,7.3100000000000005,65.5,40.52857142857143,-38.760000000000005,0.4442857142857143,0.4453333333333333,0.39,0.45,0.28,1143.768,rain_on_snow,warming_snow_transition,True,False,True,True,True
test_7_0012,test,7,2016-07-11,2016-07-17,2016-07-13,2016-07-15,2016-07-14,JJA,2016,7,7,3,4.85913105667799,7.188748793134274,33.181199356338276,76.40999999999997,86.64999999999999,235.14000000000001,89.06,11.671428571428569,11.129999999999999,0.0,0.6285714285714287,4.13,0.41428571428571426,0.42933333333333334,0.39,0.45,0.28,1143.768,warm_season_short_rain,warm_season_rainfall_intensity,True,True,False,False,True
test_7_0013,test,7,2016-08-03,2016-08-08,2016-08-05,2016-08-06,2016-08-05,JJA,2016,8,6,2,4.85913105667799,9.706753441802253,25.694615412122296,86.60999999999997,108.28,256.81,90.56,11.942857142857141,12.136666666666667,0.0,0.04999999999999987,0.35,0.42714285714285716,0.4233333333333333,0.39,0.45,0.28,1143.768,warm_season_short_rain,warm_season_rainfall_intensity,True,True,False,False,True
test_7_0014,test,7,2017-01-21,2017-01-25,2017-01-23,2017-01-23,2017-01-23,DJF,2017,1,5,1,4.85913105667799,4.982945825138566,11.841959592347578,0.0,0.8300000000000035,94.25000000000001,0.0,-15.114285714285716,-10.116666666666667,127.8,130.53,2.8200000000000074,0.39142857142857146,0.4013333333333334,0.39,0.45,0.28,1143.768,rainfall_runoff,mixed_rainfall_runoff,False,False,True,False,False
test_7_0015,test,7,2017-07-23,2017-07-30,2017-07-25,2017-07-28,2017-07-26,JJA,2017,7,8,4,4.85913105667799,11.526359377793671,44.31224745217236,69.20999999999998,93.56,242.96,89.85000000000001,10.557142857142859,11.770000000000001,0.0,0.02428571428571429,0.16,0.42142857142857143,0.4033333333333334,0.39,0.45,0.28,1143.768,warm_season_short_rain,warm_season_rainfall_intensity,True,True,False,False,True
test_7_0016,test,7,2017-08-30,2017-09-07,2017-09-01,2017-09-05,2017-09-02,SON,2017,9,9,3,4.85913105667799,6.415041659216879,34.34488825317361,89.21999999999997,92.71000000000001,213.41000000000003,119.25,11.742857142857142,12.016666666666667,0.0,0.36,2.52,0.42714285714285716,0.43333333333333335,0.39,0.45,0.28,1143.768,warm_season_short_rain,warm_season_rainfall_intensity,True,True,False,False,True
test_14_0001,test,14,2014-05-01,2014-05-05,2014-05-03,2014-05-03,2014-05-03,MAM,2014,5,5,1,16.54078121330719,18.16936203522505,52.50448532289628,18.889999999999954,65.36999999999996,164.30999999999997,19.07,6.557142857142857,6.876666666666667,0.68,0.3585714285714286,-0.43000000000000005,0.40571428571428575,0.3953333333333333,0.18,0.49,0.31,52.973,long_rain_wet_soil,antecedent_wetness_storage,True,False,True,False,True
test_14_0002,test,14,2014-05-12,2014-05-16,2014-05-14,2014-05-14,2014-05-14,MAM,2014,5,5,1,16.54078121330719,17.947866927592955,39.86573776908023,34.84999999999996,67.30999999999997,201.48999999999998,45.68000000000001,7.985714285714286,7.106666666666667,0.0,1.1099999999999999,5.6,0.41000000000000003,0.39866666666666667,0.18,0.49,0.31,52.973,long_rain_wet_soil,antecedent_wetness_storage,True,False,False,False,True
test_14_0003,test,14,2014-07-07,2014-07-14,2014-07-09,2014-07-12,2014-07-11,JJA,2014,7,8,3,16.54078121330719,38.82082191780822,137.50450097847357,50.92999999999995,96.41999999999996,216.87,117.11,13.457142857142857,13.803333333333333,0.0,0.0,0.0,0.3771428571428571,0.3496666666666667,0.18,0.49,0.31,52.973,long_rain_wet_soil,antecedent_wetness_storage,True,False,False,False,True
test_14_0004,test,14,2014-07-20,2014-07-24,2014-07-22,2014-07-22,2014-07-22,JJA,2014,7,5,1,16.54078121330719,55.877636007827796,75.53490410958905,75.66999999999994,76.77999999999994,288.06,76.94000000000001,17.114285714285717,14.586666666666668,0.0,0.0,0.0,0.3985714285714286,0.376,0.18,0.49,0.31,52.973,warm_season_short_rain,warm_season_rainfall_intensity,True,True,False,False,True
test_14_0005,test,14,2014-07-24,2014-08-02,2014-07-26,2014-07-31,2014-07-31,JJA,2014,7,10,4,16.54078121330719,72.60474363992172,220.314927592955,28.559999999999945,119.14999999999995,328.18,132.84,14.885714285714286,15.150000000000002,0.0,0.0,0.0,0.42142857142857143,0.3993333333333334,0.18,0.49,0.31,52.973,long_rain_wet_soil,antecedent_wetness_storage,True,False,False,False,True
test_14_0006,test,14,2014-08-25,2014-08-29,2014-08-27,2014-08-27,2014-08-27,JJA,2014,8,5,1,16.54078121330719,17.041596868884543,34.91845009784736,36.60999999999994,57.259999999999955,205.23,45.11,11.885714285714286,13.750000000000002,0.0,0.0,0.0,0.39142857142857146,0.3993333333333334,0.18,0.49,0.31,52.973,warm_season_short_rain,warm_season_rainfall_intensity,True,True,False,False,True
test_14_0007,test,14,2014-08-29,2014-09-03,2014-08-31,2014-09-01,2014-09-01,SON,2014,9,6,2,16.54078121330719,39.55124853228963,92.55113894324853,36.73999999999994,79.40999999999997,208.87,46.980000000000004,12.9,13.330000000000002,0.0,0.002857142857142857,0.02,0.4028571428571429,0.39633333333333337,0.18,0.49,0.31,52.973,long_rain_wet_soil,antecedent_wetness_storage,True,False,False,False,True
test_14_0008,test,14,2014-09-20,2014-09-24,2014-09-22,2014-09-22,2014-09-22,SON,2014,9,5,1,16.54078121330719,25.891256360078277,47.48280234833659,34.77999999999994,39.01999999999995,190.14,41.92,13.200000000000001,12.673333333333336,0.0,0.005714285714285714,0.04,0.39,0.3993333333333334,0.18,0.49,0.31,52.973,rainfall_runoff,mixed_rainfall_runoff,False,True,False,False,False
test_14_0009,test,14,2014-10-21,2014-10-25,2014-10-23,2014-10-23,2014-10-23,SON,2015,10,5,1,16.54078121330719,19.839874755381604,58.613354207436394,73.11999999999995,93.15999999999995,136.06,73.93,8.785714285714286,11.06,0.0,4.557142857142857,23.99,0.3742857142857143,0.37466666666666665,0.18,0.49,0.31,52.973,cool_season_rain,cool_season_rainfall,True,True,False,False,False
test_14_0010,test,14,2014-12-16,2014-12-20,2014-12-18,2014-12-18,2014-12-18,DJF,2015,12,5,1,16.54078121330719,22.56882974559687,49.9091037181996,29.629999999999935,30.399999999999956,60.720000000000006,44.03,1.7428571428571427,2.6000000000000005,11.69,10.207142857142857,-0.8599999999999994,0.37285714285714283,0.3873333333333333,0.18,0.49,0.31,52.973,rainfall_runoff,mixed_rainfall_runoff,False,True,True,False,False
test_14_0011,test,14,2015-01-02,2015-01-06,2015-01-04,2015-01-04,2015-01-04,DJF,2015,1,5,1,16.54078121330719,19.143264187866926,40.21573385518591,29.589999999999932,54.46999999999995,155.23000000000002,29.609999999999996,-4.214285714285714,-0.9366666666666661,34.45,57.57,29.019999999999996,0.3871428571428571,0.38466666666666666,0.18,0.49,0.31,52.973,rainfall_runoff,mixed_rainfall_runoff,False,False,True,False,False
test_14_0012,test,14,2015-01-08,2015-01-12,2015-01-10,2015-01-10,2015-01-10,DJF,2015,1,5,1,16.54078121330719,21.03358121330724,47.50140117416829,20.109999999999935,28.259999999999955,154.9,40.489999999999995,0.0,-0.9366666666666661,63.89,63.31142857142857,-6.020000000000003,0.3985714285714286,0.3893333333333333,0.18,0.49,0.31,52.973,snowmelt,warming_snow_transition,False,True,True,True,False
test_14_0013,test,14,2015-02-28,2015-03-04,2015-03-02,2015-03-02,2015-03-02,MAM,2015,3,5,1,16.54078121330719,19.347851272015657,36.675193737769085,29.529999999999934,49.00999999999996,94.19999999999999,39.36,-1.4714285714285713,-3.2833333333333328,190.98,208.66428571428568,32.33000000000001,0.33,0.3453333333333334,0.18,0.49,0.31,52.973,rainfall_runoff,mixed_rainfall_runoff,False,True,True,False,False
