event_id,split,ID,model,event_type,season,climate_sensitivity,peak_q_obs,peak_q_sim,peak_ratio,peak_bias_pct,abs_peak_bias_pct,volume_q_obs,volume_q_sim,volume_ratio,volume_bias_pct,abs_volume_bias_pct,peak_timing_error_days,abs_peak_timing_error_days,threshold_hit
val_769_0034,val,769,xgboost,long_rain_wet_soil,SON,antecedent_wetness_storage,3.060251748251748,2.8364245820236045,0.9268598842291746,-7.314011544405487,7.314011544405487,11.41779020979021,13.425473065330586,1.1758381278229342,17.583812791051677,17.583812791051677,1,1,1
val_769_0035,val,769,xgboost,storage_release,SON,antecedent_wetness_storage,2.764195804195804,1.6789880280062748,0.6074056059452497,-39.25943936929814,39.25943936929814,8.371132867132868,7.032366593620388,0.8400734648939954,-15.992653498654642,15.992653498654642,0,0,0
val_773_0001,val,773,xgboost,snowmelt,DJF,warming_snow_transition,4.328786440677966,2.631896151035553,0.6079986126585981,-39.20013871103902,39.20013871103902,24.06020338983051,17.000432663022487,0.7065789256586856,-29.34210742997519,29.34210742997519,4,4,0
val_773_0002,val,773,xgboost,snowmelt,MAM,warming_snow_transition,4.545518644067798,2.7414452052399025,0.6031094401547688,-39.68905596252343,39.68905596252343,14.963308474576273,12.526301569733421,0.8371344873481267,-16.286551258504325,16.286551258504325,2,2,0
val_773_0003,val,773,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,11.305220338983052,5.257847756074489,0.46508140469223014,-53.49185952193152,53.49185952193152,23.951837288135597,19.238327089146726,0.8032088251481697,-19.679117481007978,19.679117481007978,0,0,1
val_773_0004,val,773,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,12.804772881355932,5.137543827179567,0.4012210036351943,-59.87789962867098,59.87789962867098,31.713193220338983,22.07665864963652,0.6961348387579498,-30.386516121051752,30.386516121051752,0,0,1
val_773_0005,val,773,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,13.695132203389832,6.013422334852792,0.43909195217007485,-56.09080477569065,56.09080477569065,30.957559322033898,28.63526014348608,0.9249844228572658,-7.501557711043191,7.501557711043191,0,0,1
val_773_0006,val,773,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,6.197369491525425,4.715573826468453,0.7608992544588234,-23.910074537981778,23.910074537981778,22.22383728813559,22.415780307245967,1.0086368081089312,0.8636808153928013,0.8636808153928013,0,0,1
val_773_0007,val,773,xgboost,cool_season_rain,DJF,cool_season_rainfall,16.407213559322038,2.922957549245557,0.17815075902432426,-82.18492409147271,82.18492409147271,45.062725423728814,16.331248270600035,0.36241146350278297,-63.75885364750258,63.75885364750258,1,1,0
val_773_0008,val,773,xgboost,rain_on_snow,DJF,warming_snow_transition,9.521572881355931,8.830275000549115,0.9273966717108436,-7.260332818413168,7.260332818413168,29.118264406779662,35.229428515462324,1.2098739135719199,20.987391360626265,20.987391360626265,1,1,1
val_773_0009,val,773,xgboost,long_rain_wet_soil,JJA,antecedent_wetness_storage,5.254291525423729,1.3378747027901814,0.25462513757792765,-74.53748622317518,74.53748622317518,15.85366779661017,7.410856956402835,0.46745378110672725,-53.25462188301959,53.25462188301959,-3,3,0
val_773_0010,val,773,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,9.700230508474576,2.748577977698627,0.2833518208679669,-71.66481790289428,71.66481790289428,21.21046779661017,13.638579905211849,0.6430117447361786,-35.69882552166748,35.69882552166748,0,0,0
val_773_0011,val,773,xgboost,storage_release,JJA,antecedent_wetness_storage,8.355905084745762,1.9733457212335048,0.236161816222615,-76.3838183657709,76.3838183657709,24.335511864406776,11.329234188791665,0.4655432871702324,-53.445671278867536,53.445671278867536,3,3,0
val_773_0012,val,773,xgboost,cool_season_rain,DJF,cool_season_rainfall,8.17724745762712,2.4094067430482102,0.2946476494980288,-70.53523503796806,70.53523503796806,19.646481355932202,11.652842197243862,0.5931261677619535,-40.68738321871468,40.68738321871468,1,1,0
val_773_0013,val,773,xgboost,long_rain_wet_soil,DJF,antecedent_wetness_storage,5.74633220338983,2.7918775957998916,0.485853844939051,-51.4146154886925,51.4146154886925,17.26535593220339,13.208176032255892,0.7650103527176613,-23.49896472244193,23.49896472244193,0,0,0
val_773_0014,val,773,xgboost,long_rain_wet_soil,DJF,antecedent_wetness_storage,7.017437288135593,5.201370595328732,0.7412065660182674,-25.87934338392305,25.87934338392305,18.773694915254236,18.026964229636274,0.9602246286653223,-3.9775371281411607,3.9775371281411607,0,0,1
val_773_0015,val,773,xgboost,rain_on_snow,DJF,warming_snow_transition,4.516230508474577,7.099131394478469,1.5719152021990987,57.19152024205224,57.19152024205224,12.046210169491527,21.62980824139992,1.7955695555092037,79.55695555922175,79.55695555922175,0,0,1
val_773_0016,val,773,xgboost,rain_on_snow,DJF,warming_snow_transition,6.686481355932203,6.508103217412264,0.9733225698244106,-2.6677430026033893,2.6677430026033893,23.954766101694915,34.125033163797156,1.4245613176727316,42.45613177144771,42.45613177144771,0,0,1
val_773_0017,val,773,xgboost,cool_season_rain,SON,cool_season_rainfall,6.762630508474576,1.9206336307192968,0.28400688578630046,-71.59931140658281,71.59931140658281,24.86562711864407,9.797600934581002,0.39402187153529733,-60.597812842448654,60.597812842448654,1,1,0
val_773_0018,val,773,xgboost,snowmelt,SON,warming_snow_transition,6.3320949152542365,2.869199849922473,0.45312015815766604,-54.68798416844083,54.68798416844083,18.164501694915252,10.857067286496209,0.5977079618395309,-40.22920381054166,40.22920381054166,1,1,0
val_773_0019,val,773,xgboost,long_rain_wet_soil,SON,antecedent_wetness_storage,3.924610169491525,2.6753171846013477,0.6816771777020305,-31.832282204316712,31.832282204316712,16.304705084745763,11.830484311782115,0.7255871387778001,-27.441286116086783,27.441286116086783,1,1,0
val_773_0020,val,773,xgboost,rain_on_snow,DJF,warming_snow_transition,10.634522033898305,6.671662022490766,0.6273588978044339,-37.26411021015328,37.26411021015328,55.170061016949155,37.528688664128445,0.6802364900759993,-31.9763509905875,31.9763509905875,0,0,1
val_773_0021,val,773,xgboost,rain_on_snow,DJF,warming_snow_transition,3.5731525423728816,5.199363826526242,1.4551194675887797,45.51194678686447,45.51194678686447,14.181315254237287,21.317104484757888,1.5031824694035547,50.31824694740701,50.31824694740701,0,0,1
val_773_0022,val,773,xgboost,snowmelt,DJF,warming_snow_transition,4.451796610169492,4.650460338225666,1.0446255173827417,4.462551760737,4.462551760737,17.4528,21.38539209300222,1.2253272879868498,22.532728804414727,22.532728804414727,0,0,1
val_773_0023,val,773,xgboost,rain_on_snow,DJF,warming_snow_transition,10.162983050847457,4.386138514191007,0.43157983161190866,-56.8420168289695,56.8420168289695,54.34706440677966,35.45274305493968,0.6523396146833039,-34.766038529829586,34.766038529829586,3,3,1
val_773_0024,val,773,xgboost,snowmelt,MAM,warming_snow_transition,3.543864406779661,2.9032777335839586,0.8192406366368149,-18.075936308100726,18.075936308100726,15.23861694915254,13.185196829619478,0.8652489181104781,-13.475108182389915,13.475108182389915,1,1,0
val_773_0025,val,773,xgboost,cool_season_rain,MAM,cool_season_rainfall,6.094861016949152,1.787880605929827,0.2933423093101846,-70.66576905257428,70.66576905257428,14.509342372881358,7.957564869648852,0.5484442137069886,-45.15557862240904,45.15557862240904,1,1,0
val_773_0026,val,773,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,21.97488813559322,13.79735533275003,0.6278691953737082,-37.21308045807853,37.21308045807853,51.075579661016945,49.5810655614186,0.970739165164879,-2.926083481554227,2.926083481554227,0,0,1
val_773_0027,val,773,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,8.847945762711863,4.228806399453736,0.4779421701246596,-52.20578297623198,52.20578297623198,28.73166101694915,20.03016872350514,0.6971462147973958,-30.28537851677994,30.28537851677994,0,0,1
val_773_0028,val,773,xgboost,long_rain_wet_soil,SON,antecedent_wetness_storage,5.43002033898305,2.8196969946841204,0.5192792693467004,-48.07207304691382,48.07207304691382,13.302671186440678,10.495911949570903,0.7890078467458707,-21.099215317895652,21.099215317895652,0,0,0
val_777_0001,val,777,xgboost,snowmelt,DJF,warming_snow_transition,9.792,3.1832863670595297,0.3250905194785988,-67.49094804192771,67.49094804192771,22.062545454545454,7.392386628566414,0.3350649925441095,-66.49350074105648,66.49350074105648,0,0,0
val_777_0002,val,777,xgboost,snowmelt,MAM,warming_snow_transition,14.251636363636365,7.602352507154888,0.5334371655748363,-46.656283435499624,46.656283435499624,128.8712727272727,67.46105132991798,0.5234762558150626,-47.65237441771777,47.65237441771777,6,6,0
val_777_0003,val,777,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,24.676363636363636,12.272846087587528,0.49735229501175926,-50.26477049477161,50.26477049477161,70.90036363636364,39.247654419946706,0.55356069287159,-44.643930711430556,44.643930711430556,0,0,1
val_777_0004,val,777,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,20.530909090909088,13.61736850647824,0.6632618383101523,-33.67381616411407,33.67381616411407,81.21163636363636,50.09152113588027,0.616802263544743,-38.319773644294344,38.319773644294344,0,0,1
val_777_0005,val,777,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,9.486545454545453,9.541405853469309,1.0057829689617717,0.5782969067184117,0.5782969067184117,28.96145454545454,35.956616111314396,1.2415335028715333,24.153350290606188,24.153350290606188,1,1,1
