model,feature,importance
xgboost,2m_temp_mean_lag_7,0.0006663016974925995
xgboost,2m_dp_temp_mean,0.0006618621991947293
xgboost,2m_temp_mean_mean_90,0.0006434448296204209
xgboost,volsw_123_lag_7,0.0006395580130629241
xgboost,surf_net_therm_rad_max,0.0006027324707247317
xgboost,surf_press,0.0005655413842760026
xgboost,gc_ig_fra,0.000536952109541744
xgboost,2m_temp_mean,0.0005048398743383586
xgboost,prec_lag_7,0.000492856721393764
xgboost,10m_wind_u,0.00047944235848262906
xgboost,surf_net_solar_rad_max,0.0004756184061989188
xgboost,2m_temp_min,0.00041521454113535583
xgboost,10m_wind_v,0.00031800963915884495
xgboost,2m_temp_max,0.0002159266296075657
xgboost,diur_art,0.00018407600873615593
xgboost,has_transfer,0.0
xgboost,transfer_count,0.0
