split,attribute,target,spearman_rho,n
val,fdc_slope,kge_rf,0.06240642786235068,100
spatial_test,frac_snow,pbias_xgb,-0.062367807452284575,50
test,is_impacted,pbias_xlstm,0.06171348258133151,100
test,forest_fra,pbias_xlstm,-0.06166327627659126,100
val,urban_fra,pbias_rf,0.06152516902100048,100
val,geol_perme,kge_rf,0.06113337222206491,100
test,urban_fra,tree_advantage,0.05954397212629613,100
test,urban_fra,sequence_gain_vs_tree,-0.05954397212629613,100
val,forest_fra,memory_gain_xlstm_vs_rf,0.05842889461903164,100
test,fdc_slope,pbias_rf,-0.05424558729573559,100
train,fdc_slope,pbias_xlstm,0.05422758544154452,100
test,geol_perme,kge_rf,0.0536990445147611,100
train,urban_fra,kge_xlstm,-0.05300602237377177,100
spatial_test,fdc_slope,memory_gain_xlstm_vs_rf,-0.0517870354004073,49
val,soil_tawc,kge_xgb,-0.05127803421882027,100
spatial_test,area_calc,kge_xlstm,0.050756302521008406,50
test,frac_snow,memory_gain_xlstm_vs_rf,-0.04972321502459053,100
test,soil_tawc,pbias_xlstm,-0.04970842168092373,100
val,geol_perme,kge_xlstm,-0.04952812824243383,100
test,frac_snow,sequence_gain_vs_tree,-0.04804094095415973,100
test,frac_snow,tree_advantage,0.04804094095415973,100
val,aridity,pbias_xgb,-0.0458855829975085,100
spatial_test,urban_fra,kge_xgb,-0.04505608212500519,50
spatial_test,aridity,pbias_xlstm,-0.04496541542494041,50
test,geol_perme,pbias_xgb,0.04439561744046337,100
test,soil_condu,pbias_xlstm,-0.04381406194200179,100
val,soil_tawc,pbias_xgb,0.04321867753385147,100
spatial_test,fdc_slope,sequence_gain_vs_tree,-0.042603127644670044,49
spatial_test,fdc_slope,tree_advantage,0.042603127644670044,49
val,forest_fra,tree_advantage,-0.039658679730633674,100
val,forest_fra,sequence_gain_vs_tree,0.039658679730633674,100
test,soil_condu,memory_gain_xlstm_vs_rf,0.03906118739631415,100
train,geol_perme,pbias_xlstm,0.03716562857070875,100
spatial_test,geol_perme,kge_rf,0.03643285863272218,50
val,area_calc,pbias_xlstm,0.03563156315631563,100
train,geol_perme,kge_xlstm,0.03527248934047375,100
spatial_test,bfi,tree_advantage,0.03495165456572223,49
spatial_test,bfi,sequence_gain_vs_tree,-0.03495165456572223,49
test,geol_poros,memory_gain_xlstm_vs_rf,-0.033380004448097,100
val,soil_condu,pbias_xlstm,-0.03310209090153155,100
spatial_test,geol_perme,kge_xlstm,-0.03195695922341813,50
test,geol_poros,pbias_rf,-0.03117549452683524,100
test,geol_perme,kge_xlstm,-0.028186739650165594,100
val,soil_tawc,pbias_rf,0.027951177117157743,100
test,is_impacted,memory_gain_xlstm_vs_rf,-0.027736396665766973,100
test,soil_condu,tree_advantage,-0.02604479233369234,100
test,soil_condu,sequence_gain_vs_tree,0.02604479233369234,100
test,geol_poros,pbias_xgb,-0.025390908548156562,100
test,aridity,pbias_xlstm,0.023870349077337934,100
spatial_test,is_impacted,pbias_xlstm,0.022192446782303355,50
spatial_test,aridity,pbias_rf,0.022146427896258043,50
spatial_test,bfi,pbias_xlstm,0.021379187245310387,49
spatial_test,aridity,pbias_xgb,0.018783629734136432,50
spatial_test,urban_fra,pbias_xlstm,0.018733339049842247,50
test,geol_poros,tree_advantage,0.017539969945733893,100
test,geol_poros,sequence_gain_vs_tree,-0.017539969945733893,100
val,soil_condu,pbias_xgb,-0.017253174645015086,100
test,is_impacted,sequence_gain_vs_tree,-0.015255018166171834,100
test,is_impacted,tree_advantage,0.015255018166171834,100
spatial_test,fdc_slope,pbias_xlstm,0.01515344779696647,49
test,soil_tawc,tree_advantage,-0.012774231269958053,100
test,soil_tawc,sequence_gain_vs_tree,0.012774231269958053,100
val,soil_condu,pbias_rf,-0.012542307828897925,100
spatial_test,bfi,memory_gain_xlstm_vs_rf,-0.012041737923372915,49
val,forest_fra,pbias_rf,-0.010891285173415059,100
val,soil_tawc,pbias_xlstm,-0.008910569638212707,100
spatial_test,forest_fra,kge_rf,-0.008452192326360904,50
test,soil_tawc,memory_gain_xlstm_vs_rf,0.008210280967458862,100
spatial_test,frac_snow,pbias_xlstm,0.0050529473630323155,50
val,forest_fra,pbias_xgb,-0.004944583461649591,100
test,geol_perme,pbias_rf,0.00198929868319932,100
